Name of the University,City,State,Type,Before Aid,After Aid,Median Earning,Graduation Rate,Acceptance Rate
The University of Texas at Austin,Austin,Texas,Public,28928,18350,67839,83,32
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Public,24546,12469,61915,89,25
New York University,New York,New York,Private,77632,38569,76040,85,21
University of Notre Dame,Notre Dame,Indiana,Private,76883,31101,88962,97,19
"University of California, Berkeley",Berkeley,California,Public,41528,16032,80364,92,17
Rice University,Houston,Texas,Private,69557,16076,77683,95,11
Cornell University,Ithaca,New York,Private,78992,37042,91176,95,11
Johns Hopkins University,Baltimore,Maryland,Private,67667,23428,83287,93,11
"University of Pennsylvania
",Philadelphia,Pennsylvannia,Private,81110,25046,"103,246",95,9
Dartmouth College,Hanover,New Hampshire,Private,80184,32410,91627,95,9
Northwestern University,Evanston,Illinois,Private,81283,23279,"89,800",95,9
Cornell University,Providence,Rhode Island,Private,80448,29544,78943,95,8
Duke University,Durham,North Carolina,Private,77069,32459,93115,96,8
Yale University,New Haven,Connecticut,Private,"79,370","15,296","88,655",97,7
Massachusetts Institute of Technology,Cambridge,Massachusetts,Private,72462,"16,407",111222,94,7
Columbia University,New York,New York,Private,77603,22823,89871,96,7
University of Chicago,Chicago,Illinois,Private,"81,531","28,517","76,730",94,7
California Institute of Technology,Pasadena,California,Private,77718,26542,112813,92,7
Princeton University,Princeton,New Jersey,Private,68044,"9,836","95,689",96,6
Stanford University,Stanford,California,Private,78218,12894,97798,94,5
Havard University,Cambridge,Massachusetts,Private,75891,13872,104943,98,5